ID|NAME|CODE|ISRESIDENTIAL|ISINACTIVE|VERSION
137|16 TASSEL TRAIL|471|False|False|0
138|1541 WADE HAMPTON|480|False|False|0
139|115A WHITE OAK DRIVE|487|False|False|0
140|115B WHITE OAK DRIVE|488|False|False|0
141|121A WHITE OAK DRIVE|489|False|False|0
142|121B WHITE OAK DRIVE|490|False|False|0
143|125A WHITE OAK DRIVE|491|False|False|0
144|125B WHITE OAK DRIVE|492|False|False|0
145|131 WHITE OAK DRIVE|496|False|False|0
146|201 WHITE OAK DRIVE|499|False|False|0
147|GREENHOUSE|67|False|False|0
148|WH MALL STAGE WAREHOUSE|64|False|False|0
149|WH Mall Auto Shop|159|False|False|0
150|GARRETT BUILDING|68|False|False|2
151|Varsity Village|600|False|False|0
152|9 TASSEL TRAIL|464|False|False|1
153|UNIV AVIA CORP/FLT TRNG HANGAR|93|False|False|0
154|RES. HALL MAINT. OFFICE|95|False|False|1
155|Univ. Place Office Bldg.|84|False|False|6
156|UNIV AVIA MECHANIC SCH HANGAR|94|False|False|0
157|BOB JONES MEMORIAL SEMINARY|65|False|False|3
158|MISSISSIPPI FARM|185|False|False|0
159|DINING COMMON|2|False|False|4
160|DC Clock Tower|72|False|False|0
161|ACTIVITY CENTER|121|False|False|1
162|West Loop Chiller Bldg.|70|False|False|0
163|Train Auto Sales|161-A|False|False|2
164|Nick's Auto Sales|161-B|False|False|0
165|CUPPA JONES Coffee Shop|88|False|False|3
166|PARKING GARAGE|86|False|False|0
167|Admin Building|1|False|False|0
168|Dining Common|2|False|False|0
169|rodeheaver|16|False|False|1
170|Rodeheaver Auditorium|16|False|False|3
171|Student Center|14|False|False|1
172|Office Annex|42|False|False|0
