ID,NAME,CODE,ISRESIDENTIAL,ISINACTIVE,VERSION
110,14 SENNET DRIVE,431,FALSE,FALSE,0
111,15 SENNET DRIVE,432,FALSE,FALSE,0
112,16 SENNET DRIVE,433,FALSE,FALSE,0
113,17 SENNET DRIVE,434,FALSE,FALSE,0
114,18 SENNET DRIVE,435,FALSE,FALSE,0
115,19 SENNET DRIVE,436,FALSE,FALSE,0
116,101 STADIUM VIEW DRIVE,445,FALSE,FALSE,0
117,103 STADIUM VIEW DRIVE,446,FALSE,FALSE,0
118,105 STADIUM VIEW DRIVE,447,FALSE,FALSE,0
119,107 STADIUM VIEW DRIVE,448,FALSE,FALSE,0
120,109 STADIUM VIEW DRIVE,449,FALSE,FALSE,0
121,111 STADIUM VIEW DRIVE,450,FALSE,FALSE,0
122,203 STADIUM VIEW DRIVE,452,FALSE,FALSE,0
123,205 STADIUM VIEW DRIVE,453,FALSE,FALSE,0
124,207 STADIUM VIEW DRIVE,454,FALSE,FALSE,0
125,209 STADIUM VIEW DRIVE,455,FALSE,FALSE,0
126,211 STADIUM VIEW DRIVE,456,FALSE,FALSE,0
127,213 STADIUM VIEW DRIVE,457,FALSE,FALSE,0
128,215 STADIUM VIEW DRIVE,458,FALSE,FALSE,0
129,217 STADIUM VIEW DRIVE,459,FALSE,FALSE,0
130,219 STADIUM VIEW DRIVE,460,FALSE,FALSE,0
131,10 TASSEL TRAIL,465,FALSE,FALSE,0
132,11 TASSEL TRAIL,466,FALSE,FALSE,0
133,12 TASSEL TRAIL,467,FALSE,FALSE,0
134,13 TASSEL TRAIL,468,FALSE,FALSE,0
135,14 TASSEL TRAIL,469,FALSE,FALSE,0
136,15 TASSEL TRAIL,470,FALSE,FALSE,0
137,16 TASSEL TRAIL,471,FALSE,FALSE,0
138,1541 WADE HAMPTON,480,FALSE,FALSE,0
139,115A WHITE OAK DRIVE,487,FALSE,FALSE,0
140,115B WHITE OAK DRIVE,488,FALSE,FALSE,0
141,121A WHITE OAK DRIVE,489,FALSE,FALSE,0
142,121B WHITE OAK DRIVE,490,FALSE,FALSE,0
143,125A WHITE OAK DRIVE,491,FALSE,FALSE,0
144,125B WHITE OAK DRIVE,492,FALSE,FALSE,0
145,131 WHITE OAK DRIVE,496,FALSE,FALSE,0
146,201 WHITE OAK DRIVE,499,FALSE,FALSE,0
147,GREENHOUSE,67,FALSE,FALSE,0
148,WH MALL STAGE WAREHOUSE,64,FALSE,FALSE,0
149,WH Mall Auto Shop,159,FALSE,FALSE,0
150,GARRETT BUILDING,68,FALSE,FALSE,2
151,Varsity Village,600,FALSE,FALSE,0
152,9 TASSEL TRAIL,464,FALSE,FALSE,1
153,UNIV AVIA CORP/FLT TRNG HANGAR,93,FALSE,FALSE,0
154,RES. HALL MAINT. OFFICE,95,FALSE,FALSE,1
155,Univ. Place Office Bldg.,84,FALSE,FALSE,6
156,UNIV AVIA MECHANIC SCH HANGAR,94,FALSE,FALSE,0
157,BOB JONES MEMORIAL SEMINARY,65,FALSE,FALSE,3
158,MISSISSIPPI FARM,185,FALSE,FALSE,0
159,DINING COMMON,2,FALSE,FALSE,4
160,DC Clock Tower,72,FALSE,FALSE,0
161,ACTIVITY CENTER,121,FALSE,FALSE,1
162,West Loop Chiller Bldg.,70,FALSE,FALSE,0
163,Train Auto Sales,161-A,FALSE,FALSE,2
164,Nick's Auto Sales,161-B,FALSE,FALSE,0
165,CUPPA JONES Coffee Shop,88,FALSE,FALSE,3
166,PARKING GARAGE,86,FALSE,FALSE,0
167,Admin Building,1,FALSE,FALSE,0
168,Dining Common,2,FALSE,FALSE,0
169,rodeheaver,16,FALSE,FALSE,1
170,Rodeheaver Auditorium,16,FALSE,FALSE,3
171,Student Center,14,FALSE,FALSE,1
172,Office Annex,42,FALSE,FALSE,0
