ID,KEYID,KEYSTATUSID,STARTDATE,ENDDATE,OWNERID,PERSONRESPID,NOTE
17808,3159,3,00:00.0,00:00.0,1305792,0,
17809,3160,3,00:00.0,00:00.0,1299079,0,
17810,3149,3,00:00.0,00:00.0,1272887,0,
17811,3166,3,00:00.0,00:00.0,1256829,0,
17812,3167,3,00:00.0,00:00.0,1271359,0,
17813,3156,3,00:00.0,00:00.0,1322488,0,
17814,3177,3,00:00.0,00:00.0,1270128,0,
17815,3178,3,00:00.0,00:00.0,1131336,0,
17816,3173,3,00:00.0,00:00.0,1305008,0,
17817,20273,3,00:00.0,00:00.0,1266889,0,
17818,20271,1,00:00.0,00:00.0,0,0,
17819,20266,1,00:00.0,00:00.0,0,0,
17820,20268,3,00:00.0,00:00.0,1305069,0,
17821,20269,1,00:00.0,00:00.0,0,0,
17822,20270,1,00:00.0,00:00.0,0,0,
17823,20272,2,00:00.0,00:00.0,0,0,
17824,20265,1,00:00.0,00:00.0,0,0,
17825,20274,1,00:00.0,00:00.0,0,0,
17826,3183,3,00:00.0,00:00.0,1293422,0,
17827,3190,3,00:00.0,00:00.0,1320729,0,
17828,3194,3,00:00.0,00:00.0,1307869,0,
17829,3184,3,00:00.0,00:00.0,1329655,0,
17830,3185,3,00:00.0,00:00.0,1292863,0,
17831,3188,3,00:00.0,00:00.0,1296714,0,
17832,3195,3,00:00.0,00:00.0,1293496,0,
17833,3197,3,00:00.0,00:00.0,1315504,0,
17834,3198,1,00:00.0,00:00.0,0,0,
17835,13000,1,00:00.0,00:00.0,0,0,
17836,13002,1,00:00.0,00:00.0,0,0,
17837,13003,1,00:00.0,00:00.0,0,0,
17838,13004,1,00:00.0,00:00.0,0,0,
17839,13005,1,00:00.0,00:00.0,0,0,
17840,13006,1,00:00.0,00:00.0,0,0,
17841,13007,1,00:00.0,00:00.0,0,0,
17842,13008,1,00:00.0,00:00.0,0,0,
17843,13009,1,00:00.0,00:00.0,0,0,
17844,15884,2,00:00.0,00:00.0,0,0,
17845,4132,3,00:00.0,00:00.0,1227695,0,
17846,4131,1,00:00.0,00:00.0,0,0,
17847,13104,3,00:00.0,00:00.0,1128567,0,
17848,13101,2,00:00.0,00:00.0,0,0,
17849,13102,3,00:00.0,00:00.0,1309558,0,
17850,13105,2,00:00.0,00:00.0,0,0,
17851,13107,2,00:00.0,00:00.0,0,0,
17852,13109,3,00:00.0,00:00.0,1156772,0,
17853,13112,3,00:00.0,00:00.0,1292845,0,
17854,13113,3,00:00.0,00:00.0,1293029,0,
17855,3843,1,00:00.0,00:00.0,0,0,
17856,3846,3,00:00.0,00:00.0,1630309,0,
17857,3834,1,00:00.0,00:00.0,0,0,
17858,3836,3,00:00.0,00:00.0,1321955,0,
17859,3838,3,00:00.0,00:00.0,1137085,0,
17860,3839,1,00:00.0,00:00.0,0,0,
17861,3840,1,00:00.0,00:00.0,0,0,
17862,3842,3,00:00.0,00:00.0,1131336,0,
17863,3847,1,00:00.0,00:00.0,0,0,
17864,14910,1,00:00.0,00:00.0,0,0,
17865,11414,2,00:00.0,00:00.0,0,0,
17866,11418,2,00:00.0,00:00.0,0,0,
17867,11419,3,00:00.0,00:00.0,1297737,0,
17868,11416,1,00:00.0,00:00.0,0,0,
17869,11413,1,00:00.0,00:00.0,0,0,
17870,11420,3,00:00.0,00:00.0,1305070,0,
17871,11412,3,00:00.0,00:00.0,1290147,0,
17872,11422,1,00:00.0,00:00.0,0,0,
17873,6965,1,00:00.0,00:00.0,0,0,
17874,6961,1,00:00.0,00:00.0,0,0,
17875,6960,1,00:00.0,00:00.0,0,0,
17876,6964,1,00:00.0,00:00.0,0,0,
17877,6962,1,00:00.0,00:00.0,0,0,
17878,6966,4,00:00.0,00:00.0,0,0,
17879,6959,1,00:00.0,00:00.0,0,0,
17880,6967,1,00:00.0,00:00.0,0,0,
17881,6011,3,00:00.0,00:00.0,1303570,0,
17882,6012,1,00:00.0,00:00.0,0,0,
17883,7171,3,00:00.0,00:00.0,1293037,0,
17884,7172,3,00:00.0,00:00.0,1293038,0,
17885,6014,3,00:00.0,00:00.0,1300676,0,
17886,17302,3,00:00.0,00:00.0,1316865,0,
17887,17303,3,00:00.0,00:00.0,1270291,0,
17888,5433,1,00:00.0,00:00.0,0,0,
17889,5434,3,00:00.0,00:00.0,1228352,0,
17890,5435,1,00:00.0,00:00.0,0,0,
17891,5438,1,00:00.0,00:00.0,0,0,
17892,17305,2,00:00.0,00:00.0,0,0,
17893,6018,3,00:00.0,00:00.0,1247170,0,
17894,6019,2,00:00.0,00:00.0,0,0,
17895,6021,2,00:00.0,00:00.0,0,0,
17896,6022,2,00:00.0,00:00.0,0,0,
17897,6023,3,00:00.0,00:00.0,1250420,0,
17898,6024,3,00:00.0,00:00.0,1306440,0,
17899,6025,2,00:00.0,00:00.0,0,0,
17900,6027,2,00:00.0,00:00.0,0,0,
17901,6028,2,00:00.0,00:00.0,0,0,
17902,6029,2,00:00.0,00:00.0,0,0,
17903,6031,2,00:00.0,00:00.0,0,0,
17904,6033,1,00:00.0,00:00.0,0,0,
17905,6034,2,00:00.0,00:00.0,0,0,
17906,6035,2,00:00.0,00:00.0,0,0,
17907,6036,2,00:00.0,00:00.0,0,0,
17908,6037,2,00:00.0,00:00.0,0,0,
17909,6038,2,00:00.0,00:00.0,0,0,
17910,6040,2,00:00.0,00:00.0,0,0,
17911,6041,2,00:00.0,00:00.0,0,0,
17912,20442,3,00:00.0,00:00.0,1298439,0,
17913,17329,3,00:00.0,00:00.0,1209918,0,
17914,17330,3,00:00.0,00:00.0,1293471,0,
17915,17331,3,00:00.0,00:00.0,1185040,0,
17916,17337,3,00:00.0,00:00.0,1128098,0,
17917,17339,3,00:00.0,00:00.0,1227924,0,
17918,3902,3,00:00.0,00:00.0,1376529,0,
17919,17374,3,00:00.0,00:00.0,1293037,0,
17920,17376,3,00:00.0,00:00.0,1293225,0,
17921,17377,3,00:00.0,00:00.0,1142800,0,
17922,17378,3,00:00.0,00:00.0,1292845,0,
17923,11933,3,00:00.0,00:00.0,1289531,0,
17924,10009,1,00:00.0,00:00.0,0,0,
17925,10010,4,00:00.0,00:00.0,0,0,
17926,11192,3,00:00.0,00:00.0,1185717,0,
17927,11193,3,00:00.0,00:00.0,1305719,0,
17928,17564,3,00:00.0,00:00.0,1320338,0,
17929,17567,3,00:00.0,00:00.0,1289538,0,
17930,6719,1,00:00.0,00:00.0,0,0,
17931,6720,1,00:00.0,00:00.0,0,0,
17932,6721,1,00:00.0,00:00.0,0,0,
17933,4916,3,00:00.0,00:00.0,1293278,0,
17934,17596,1,00:00.0,00:00.0,0,0,
17935,17669,3,00:00.0,00:00.0,1303184,0,
17936,17663,3,00:00.0,00:00.0,1272403,0,
17937,17665,3,00:00.0,00:00.0,1196125,0,
17938,17666,3,00:00.0,00:00.0,1201651,0,
17939,17668,2,00:00.0,00:00.0,0,0,
17940,17670,3,00:00.0,00:00.0,1310693,0,
17941,17129,3,00:00.0,00:00.0,1289698,0,
17942,17130,3,00:00.0,00:00.0,1293215,0,
17943,12043,3,00:00.0,00:00.0,1324726,0,
17944,12044,3,00:00.0,00:00.0,1325048,0,
17945,20413,1,00:00.0,00:00.0,0,0,
17946,17696,2,00:00.0,00:00.0,0,0,
17947,5279,3,00:00.0,00:00.0,1293519,0,
17948,5281,3,00:00.0,00:00.0,1293519,0,
17949,5282,3,00:00.0,00:00.0,1293519,0,
17950,1247,1,00:00.0,00:00.0,0,0,
17951,8799,3,00:00.0,00:00.0,1325647,0,
17952,8800,2,00:00.0,00:00.0,0,0,
17953,8801,3,00:00.0,00:00.0,1323470,0,
17954,8803,3,00:00.0,00:00.0,1315505,0,
17955,8804,1,00:00.0,00:00.0,0,0,
17956,8805,3,00:00.0,00:00.0,1135919,0,
17957,7344,3,00:00.0,00:00.0,1322409,0,
17958,9291,1,00:00.0,00:00.0,0,0,
17959,20294,1,00:00.0,00:00.0,0,0,
17960,20295,1,00:00.0,00:00.0,0,0,
17961,20296,1,00:00.0,00:00.0,0,0,
17962,7949,4,00:00.0,00:00.0,0,0,
17963,7945,5,00:00.0,00:00.0,0,0,
17964,7954,3,00:00.0,00:00.0,1265621,0,
17965,7944,3,00:00.0,00:00.0,1298070,0,
17966,7953,3,00:00.0,00:00.0,1293565,0,
17967,7947,3,00:00.0,00:00.0,1293580,0,
17968,7950,3,00:00.0,00:00.0,1293607,0,
17969,7955,3,00:00.0,00:00.0,1137738,0,
17970,11972,3,00:00.0,00:00.0,1293607,0,
17971,5463,1,00:00.0,00:00.0,0,0,
17972,3364,3,00:00.0,00:00.0,1293619,0,
17973,3366,2,00:00.0,00:00.0,0,0,
17974,3367,3,00:00.0,00:00.0,1272889,0,
17975,3918,1,00:00.0,00:00.0,0,0,
17976,3917,2,00:00.0,00:00.0,0,0,
17977,18029,3,00:00.0,00:00.0,1218655,0,
17978,9175,2,00:00.0,00:00.0,0,0,
17979,9176,2,00:00.0,00:00.0,0,0,
17980,5547,1,00:00.0,00:00.0,0,0,
17981,10092,2,00:00.0,00:00.0,0,0,
17982,10093,2,00:00.0,00:00.0,0,0,
17983,17952,2,00:00.0,00:00.0,0,0,
17984,17953,2,00:00.0,00:00.0,0,0,
17985,17956,2,00:00.0,00:00.0,0,0,
17986,3934,4,00:00.0,00:00.0,0,0,
17987,3933,4,00:00.0,00:00.0,0,0,
17988,3941,3,00:00.0,00:00.0,1122151,0,
17989,3943,2,00:00.0,00:00.0,0,0,
17990,3942,3,00:00.0,00:00.0,1293415,0,
17991,3965,3,00:00.0,00:00.0,1319374,0,
17992,3966,3,00:00.0,00:00.0,1317765,0,
17993,3945,3,00:00.0,00:00.0,1254259,0,
17994,3947,3,00:00.0,00:00.0,1266802,0,
17995,3963,3,00:00.0,00:00.0,1208488,0,
17996,3957,3,00:00.0,00:00.0,1276601,0,
17997,3956,3,00:00.0,00:00.0,1335103,0,
17998,3959,3,00:00.0,00:00.0,1793650,0,
17999,3939,3,00:00.0,00:00.0,1133111,0,
18000,3960,3,00:00.0,00:00.0,1297736,0,
18001,8051,3,00:00.0,00:00.0,1296235,0,
18002,8048,4,00:00.0,00:00.0,0,0,
18003,8052,3,00:00.0,00:00.0,1228759,0,
18004,8049,3,00:00.0,00:00.0,1244365,0,
18005,8050,2,00:00.0,00:00.0,0,0,
18006,8059,3,00:00.0,00:00.0,1317265,0,
18007,8061,3,00:00.0,00:00.0,1293471,0,
18008,8062,3,00:00.0,00:00.0,1140865,0,
18009,8063,3,00:00.0,00:00.0,1259336,0,
18010,8064,3,00:00.0,00:00.0,1458157,0,
18011,8067,3,00:00.0,00:00.0,1210340,0,
18012,8068,3,00:00.0,00:00.0,1300844,0,
18013,8069,3,00:00.0,00:00.0,1293300,0,
18014,8065,3,00:00.0,00:00.0,1922622,0,
18015,17433,3,00:00.0,00:00.0,1293577,0,
18016,17435,3,00:00.0,00:00.0,1292976,0,
18017,17439,3,00:00.0,00:00.0,1296909,0,
18018,17440,3,00:00.0,00:00.0,1300299,0,
18019,17441,3,00:00.0,00:00.0,1293142,0,
18020,17442,3,00:00.0,00:00.0,1306762,0,
18021,17426,3,00:00.0,00:00.0,1293583,0,
18022,17427,3,00:00.0,00:00.0,1298081,0,
18023,17428,3,00:00.0,00:00.0,1293579,0,
18024,17429,3,00:00.0,00:00.0,1297763,0,
18025,17430,3,00:00.0,00:00.0,1299784,0,
18026,17449,3,00:00.0,00:00.0,1299079,0,
18027,17452,3,00:00.0,00:00.0,1227872,0,
18028,18399,3,00:00.0,00:00.0,1317266,0,
18029,18401,2,00:00.0,00:00.0,0,0,
18030,18400,2,00:00.0,00:00.0,0,0,
18031,13230,2,00:00.0,00:00.0,0,0,
18032,13229,2,00:00.0,00:00.0,0,0,
18033,13200,3,00:00.0,00:00.0,1295225,0,
18034,13198,2,00:00.0,00:00.0,0,0,
18035,13201,3,00:00.0,00:00.0,1187531,0,
18036,6003,2,00:00.0,00:00.0,0,0,
18037,6004,4,00:00.0,00:00.0,0,0,
18038,6005,1,00:00.0,00:00.0,0,0,
18039,18530,3,00:00.0,00:00.0,1492182,0,
18040,18529,3,00:00.0,00:00.0,1492182,0,
18041,18628,3,00:00.0,00:00.0,1218655,0,
